Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.769869905,5.614859816,3.822335117,5.300314058,6.287975361,3.375837491,3.259486423,3.704237753,6.592950502,2.190060661,1.027582539,5.62905761,4.446603764,3.030798494,2.817213655,5.06249127,3.485226473,5.157936612,4.264063347,1.703837811,-1.21664207,4.01181417,0.168847373,-1.986754967,2.335108562,2.531592039,-1.389713114,-1.75393533,-1.613833701,4.542973456,-4.83719101,2.216017165
Africa Eastern and Southern,AFE,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.65523821,11.27143207,10.91277355,7.199751289,22.5277562,2.096288749,-2.163404428,3.814630317,16.59334673,7.301756471,4.822785479,0.566944541,2.447563002,-2.197526466,2.403656188,2.071348579,6.521479845,7.821667127,0.524516524
Africa Western and Central,AFW,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.00743983,106.3099823,476.5157509,917.7834684,2175.978955,1825.495149,4800.531644,95.45302218,39.35934833,557.5011131,418.0189915,106.3521255,142.4782,93.92656691,33.44359479,42.37424926,17.11566514,4.308432212,19.36577356,-16.76214029,31.68817625,31.77407489,7.257832051,2.844244404,3.563413301,-3.514971535,21.77417353,22.6179365,28.16702885,19.18427566,18.16180724,33.61859184
Albania,ALB,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.431368813,35.51424696,232.9846589,125.6508142,35.84247521,9.838901278,14.60100063,11.23964448,6.730859905,2.102849989,5.647471468,3.810857374,3.647476271,5.198635303,3.152368925,3.306818147,2.478188887,4.386709383,4.117085426,2.418336059,4.4931432,2.314743797,1.042714606,0.288745964,1.54991707,0.56399135,-0.632653419,1.451062699,1.473058103,1.256589952,0.678486249,5.928013814
Andorra,AND,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.326243658,6.935148362,6.710768961,4.537232147,3.879858322,4.933121049,0.797177729,2.228160307,1.499553843,2.731979525,28.7415529,3.080535179,3.23953177,3.177484216,3.042423998,3.39610213,3.457184087,3.211227341,2.27433832,0.132136132,0.374313758,0.196764152,0.174556906,0.4484922,-0.084019317,0.660588959,0.347795382,1.136509343,1.01247848,1.374753508,1.113786074,2.096461141
Arab World,ARB,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.335900494,0.810848725,1.80682612,1.278036305,-0.262474922,3.907479754,5.773043907,-0.952300706,-4.254445321,8.443377455,11.4595358,-2.349307672,3.770839549,4.072406796,8.501422059,16.52630693,11.96214928,12.53396067,18.53335308,-15.18297988,12.49017594,13.16721938,4.679725117,-0.94932532,-0.668049356,-16.26700603,-5.529478605,4.986213141,7.936748035,-3.194409409,-12.03130529,14.2808297
Argentina,ARG,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2078.316818,140.5023787,16.07199354,-3.561095576,2.849339715,3.16512339,-0.052375497,-0.463913131,-1.705279624,-1.836558392,1.037287101,-1.095767718,30.55520405,10.49570302,18.36335425,10.3175112,13.74105249,14.93992502,23.17116498,15.37764937,20.91512427,23.70347218,22.31488067,23.94879842,40.28297163,26.5799916,41.11937999,26.00637928,42.03366896,49.19557906,40.07688303,54.15241193
